participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,138.41905596780177,"[3.2836551198726567, 0.12174817702582545]",[0.31358752 0.21519934],280.83811193560354,287.881033771328
2,120.99285551513913,"[1.2033703908691624, 0.20874711188004802]",[0.60764403 0.31407766],245.98571103027825,253.02863286600274
3,142.9397229982193,"[2.7353533733205158, 0.375992272921913]",[0.03092382 0.00873971],289.8794459964386,296.9223678321631
4,173.1626692424801,"[4.78779285357899, 0.2693039699620703]",[0.00230271 0.0001    ],350.3253384849602,357.36826032068467
5,172.5064781600188,"[4.643791803526942, 0.2458973037956275]",[0.02179193 0.06855889],349.0129563200376,356.05587815576206
6,169.3272417334369,"[2.6071653336774534, 0.005423728513813637]",[0.00948347 0.0001    ],342.6544834668738,349.69740530259827
7,135.50610121371074,"[3.8278808442196315, 0.8880355596563649]",[0.05232044 0.01592445],275.01220242742147,282.05512426314596
8,147.33280782886476,"[0.03364171891947671, 0.046483191668602514]",[0.09014044 0.0486834 ],298.6656156577295,305.708537493454
9,172.27487494505715,"[2.1084072735708195, 0.05418338710104213]",[0.01210657 0.04350913],348.5497498901143,355.5926717258388
10,170.83590961495761,"[3.1828389462943543, 0.0822535727984171]",[0.03261309 0.05301472],345.67181922991523,352.7147410656397
11,165.38952411151078,"[3.123148557169226, 0.11888142608095184]",[0.02277651 0.01632266],334.77904822302156,341.82197005874605
12,116.24678998082855,"[2.3815042440538505, 0.13429975180923195]",[0.04359487 0.0001    ],236.4935799616571,243.5365017973816
13,86.31645723625681,"[2.148151828823418, 0.05920136371117818]",[0.05168052 0.0124753 ],176.63291447251362,183.6758363082381
14,140.1453420220016,"[0.06924014945939276, 0.13310556095483136]",[0.04340783 0.02617918],284.2906840440032,291.3336058797277
15,114.99169994151788,"[1.8442846463210718, 0.10250123343745086]",[0.67556316 0.3443089 ],233.98339988303576,241.02632171876024
16,173.09997809677463,"[3.0927981976053665, 0.14322066556941182]",[0.00194209 0.0001    ],350.19995619354927,357.24287802927375
17,139.04228315176255,"[0.376405750981301, 0.09159266434977216]",[0.18152179 0.084188  ],282.0845663035251,289.1274881392496
18,124.68533435041137,"[0.7575670493036111, 0.3975353083138481]",[0.84961734 0.36343538],253.37066870082273,260.41359053654725
19,159.71798659716484,"[2.5208632359336525, 0.11714172419658964]",[0.01427697 0.0001    ],323.4359731943297,330.47889503005416
20,168.71816352861322,"[0.1310109538851203, 0.23439130062981461]",[0.07303667 0.08165614],341.43632705722644,348.4792488929509
21,96.41286173690635,"[1.573442039864951, 0.18714271913107633]",[0.35243778 0.13509304],196.8257234738127,203.8686453095372
22,120.1145398535439,"[2.025129267701803, 0.8687791795358589]",[0.20878123 0.08943403],244.2290797070878,251.2720015428123
23,165.3301254026426,"[4.802145823173928, 0.38815365136512414]",[0.02458941 0.00255846],334.6602508052852,341.7031726410097
24,173.28679544282622,"[3.2817294976934335, 0.225280382917383]",[1.000e-04 9.999e-01],350.57359088565244,357.6165127213769
25,154.17799391322956,"[1.1898664655828808, 0.187494475238964]",[0.27933377 0.20809629],312.3559878264591,319.3989096621836
26,170.30946329932368,"[1.5032272015412798, 0.0024750755151307998]",[0.00652897 0.0001    ],344.61892659864736,351.66184843437185
27,146.330510011572,"[3.1013970149961185, 0.7785709846409263]",[0.14507915 0.09174503],296.661020023144,303.70394185886846
28,148.0898904668624,"[0.3689429002391525, 0.3398859849129153]",[0.11856101 0.08924343],300.1797809337248,307.2227027694493
29,77.52545478932501,"[1.366310362917013, 0.4297631310124269]",[0.34144837 0.11164759],159.05090957865002,166.0938314143745
30,101.4449558448299,"[2.835942471368754, 0.4469647403886355]",[0.05716139 0.00722971],206.8899116896598,213.9328335253843
31,147.01629755585824,"[1.666052036413506, 0.33359353227018257]",[0.01562219 0.0001    ],298.0325951117165,305.075516947441
32,168.77765309356164,"[0.1821074692667822, 0.40493204157711304]",[0.06243951 0.08117647],341.5553061871233,348.59822802284776
33,37.43068582680957,"[1.6946689312308878, 0.6149302393654612]",[0.37060423 0.0127359 ],78.86137165361914,85.90429348934364
34,122.97302130035158,"[3.0911781712878694, 0.9626045538541358]",[0.32755054 0.07495745],249.94604260070315,256.98896443642764
35,170.89979619551355,"[4.538967769173374, 0.32150721104834995]",[0.0147903 0.0001   ],345.7995923910271,352.8425142267516
36,169.81167226707493,"[2.6821729536153254, 0.12354760645176079]",[4.9999     0.99883365],343.62334453414985,350.66626636987434
37,80.18222616276755,"[2.5787557085679347, 0.4640839212649999]",[0.2639951  0.07844045],164.3644523255351,171.40737416125958
38,83.91213494427267,"[4.797702680185044, 0.6283129796618842]",[0.03448595 0.0001    ],171.82426988854533,178.86719172426982
39,172.20478751216768,"[3.1825253450353013, 0.28116125284018173]",[0.03874032 0.1191501 ],348.40957502433537,355.45249686005985
40,171.97234115996125,"[2.2657586998061956, 0.021609237290550504]",[0.02032772 0.02499552],347.9446823199225,354.987604155647
41,151.0685101369369,"[4.754806313293578, 0.13050710124476045]",[0.02366684 0.0001    ],306.1370202738738,313.1799421095983
42,161.30913566124795,"[0.892125429488811, 0.4680753520819296]",[0.07419243 0.05919445],326.6182713224959,333.6611931582204
43,116.99730056383159,"[2.3230392619380322, 0.5033668688964797]",[0.57052285 0.27577518],237.99460112766317,245.03752296338766
44,56.47921243325341,"[1.2979992838968686, 0.1842697673178185]",[0.31373041 0.08236824],116.95842486650682,124.0013467022313
45,157.65196098266625,"[0.32154725744026774, 0.21541751727496716]",[0.07020227 0.03197524],319.3039219653325,326.346843801057
46,173.2867954904768,"[4.203458835805845, 0.9053914978136193]",[1.000e-04 9.999e-01],350.5735909809536,357.6165128166781
47,135.9301378777197,"[1.659173071412603, 0.5618312104769597]",[0.51012201 0.31894896],275.8602757554394,282.90319759116386
48,165.84263505287697,"[2.145742178518632, 0.33383729004356066]",[0.07572062 0.06743509],335.68527010575394,342.7281919414784
49,64.1058335174801,"[0.4158548736787539, 0.7063567322414249]",[0.27778661 0.08253851],132.2116670349602,139.25458887068467
50,136.13958876799327,"[0.4742895413765982, 0.31655738435110903]",[0.09623703 0.06374071],276.27917753598655,283.32209937171103
51,151.00117571998376,"[1.2024355539896443, 0.7009267874287576]",[0.02323069 0.0001    ],306.0023514399675,313.045273275692
52,113.76660644797202,"[0.15331311832971348, 0.1121734009845242]",[0.16972929 0.08538805],231.53321289594405,238.57613473166853
53,99.68274313037216,"[1.7838045801315907, 0.1255109589874965]",[0.09586399 0.04365406],203.36548626074432,210.4084080964688
54,56.45499179153852,"[0.651576387290876, 0.9977532043811813]",[0.1158436  0.01834098],116.90998358307704,123.95290541880152
55,170.70745531493853,"[4.5956730765317095, 0.07442317441237573]",[0.02426154 0.01340647],345.41491062987706,352.45783246560154
56,157.95870398671207,"[3.36936377590976, 0.08848253576166419]",[0.01693611 0.00059558],319.91740797342413,326.9603298091486
57,79.9380025820005,"[0.24068709562610346, 0.4345561277256821]",[1.06574835 0.37706292],163.876005164001,170.91892699972547
58,133.84099988261028,"[2.930036459572003, 0.29995697541168503]",[0.01842369 0.0001    ],271.68199976522055,278.72492160094504
59,168.46374533507608,"[4.787818686210433, 0.3657101080138779]",[0.01259886 0.00912572],340.92749067015217,347.97041250587665
60,170.13318569198228,"[3.8850989889824037, 0.19149234679097005]",[0.01264831 0.00223524],344.26637138396455,351.30929321968904
61,117.537161859104,"[2.7872688849474043, 0.19428286367761016]",[0.25697019 0.08176417],239.074323718208,246.1172455539325
62,154.41497985707568,"[0.5408511395716308, 0.7918487837887218]",[0.03567704 0.00633163],312.82995971415136,319.87288154987584
63,155.19906944600484,"[0.6126401890344296, 0.7346355771024563]",[0.01131819 0.0001    ],314.3981388920097,321.44106072773417
64,166.11526054083257,"[1.6109823888214034, 0.6409404584462233]",[0.06363173 0.06146414],336.23052108166513,343.2734429173896
65,166.72076082221372,"[2.7459971761338147, 0.2558778719530654]",[0.0901003 0.1243647],337.44152164442744,344.4844434801519
66,169.63760281721457,"[2.367872946144491, 0.11900434394889141]",[0.00690785 0.0001    ],343.27520563442914,350.3181274701536
67,169.45462667087008,"[4.1443163897301165, 0.10160234636106988]",[0.01137012 0.0001    ],342.90925334174017,349.95217517746465
68,173.28648750151157,"[4.451783125921119, 0.19532274083159445]",[0.00011841 0.0001    ],350.57297500302315,357.61589683874763
69,100.64840035980825,"[0.96211017325313, 0.6033500575495208]",[0.04544412 0.00163033],205.2968007196165,212.33972255534098
70,115.80281966322994,"[0.610513540257256, 0.9549297745930425]",[0.03056715 0.0001    ],235.60563932645988,242.64856116218436
71,150.28851010773522,"[0.143622903832868, 0.344823288284187]",[0.02512851 0.0001    ],304.57702021547044,311.6199420511949
72,137.79799902748957,"[0.7238510287069594, 0.2072879270819784]",[0.06307468 0.03025231],279.59599805497913,286.6389198907036
73,108.26262933327395,"[4.125191458386638, 0.23540614134393636]",[0.03827891 0.00808952],220.5252586665479,227.56818050227238
74,146.38388665030226,"[4.0592334029732005, 0.3288181139831694]",[0.05742127 0.04326382],296.7677733006045,303.810695136329
75,161.2906709797771,"[0.5597069997270353, 0.5903953835363551]",[0.19660944 0.18498941],326.5813419595542,333.6242637952787
76,84.97988248226913,"[1.4084296004968886, 0.21043846525075657]",[0.1426065  0.05570441],173.95976496453827,181.00268680026275
77,137.023160325026,"[0.25525664973000745, 0.40260265624083735]",[0.1754305  0.08723519],278.046320650052,285.0892424857765
78,173.28679535993302,"[0.26601852614245597, 0.2219841447887179]",[1.000e-04 9.999e-01],350.57359071986605,357.61651255559053
79,117.51684147664945,"[3.443087593486308, 0.25283722596066094]",[0.30214844 0.1441918 ],239.0336829532989,246.07660478902338
80,125.49853500546729,"[3.820332623012088, 0.2248839336003243]",[0.02808134 0.0001    ],254.99707001093458,262.03999184665906
81,148.67350364289229,"[2.0042193687224663, 0.4873698354874088]",[0.03376124 0.02447579],301.34700728578457,308.38992912150906
82,150.36348158692928,"[4.007073844134291, 0.15968726569241487]",[0.01444317 0.0001    ],304.72696317385856,311.76988500958305
83,103.7452605129973,"[0.10799132147023167, 0.0650953612016934]",[0.07191783 0.00798412],211.4905210259946,218.5334428617191
